1인 가구	single person household
중시하다	put stress/emphasis
효도	filial duty, devoted to parents
독립하다	to be independent
차별하다	to discriminate
입양하다	adoption, to adopt
분가하다	moving out of parents house, family
맞벌이	double-income family
전담하다	take charge of, be responsible for
부럽다	envious
전업	full-time job
독신	unmarried person, bachelor
선호	preference
약화	to be weakened
싱글족	single life stye
소포장	small packing
실용적	practical
효자	devoted, filial
소중하다	precious, valuable, priceless
마찬가지	the very same, likewise
대가족	large family
가장	most/best
책임	responsibility
복중하다	obedience
가부장적	patriarchal
이어 가다	continue on
반해	in love, instead
핵가족	nuclear family
형태	form, shape
역할	role, part
혈연	blood ties
법정 공휴일	legal, national holiday
건전하다	sound, healthy, wholesome
활성화	vitalization, invigoration
깨닫다	realize, notice, grasp
권장하다	encourage, recommend, promote
다문화가족	multi-cultural family
한부모가족	single-parent family
기러기부부	wild geese couple
부모님을 모시다	to support your parents
아들을 선호하다	to prefer a son
가사를 전담하다	take full charge of housework
가사를 분담하다	to divide housework
맞벌이를 하다	to have a double income
