계획성이 없다	to not plan ahead
눈치가 없다	to be slow-witted
고집이 세다	to be stubborn
자존심이 강하다	to have strong pride
불만이다	to be dissatisfied
속상하다	to be upset; distressed
발끈하다	to fly into a rage
따지다	to nitpick
지적하다	to point out
여성스럽다	to be lady-like
사랑스럽다	to be lovely
자랑스럽다	to be boastful
당황스럽다	to be embarassed
걱정스럽다	to be troubled
가능	possibility
사용법	instructions
헬스클럽	healthclub
광고	advertisement
전문적	specialized; professional
최신식	the latest style
사우나	sauna
주년	anniversary
기념	commemoration
이벤트	event
회원	member; membership
최상	the best
최고급	the finest
증정	present; gift
저렴하다	to be cheap; inexpensive
저축	savings
말다툼하다	to dispute; bicker
취향	taste; preference
록 콘서트	rock concert
드라이브	drive
삼촌	uncle (mother's side)
최근	lately
포기하다	to give up; back down
늘	always; all the time
거울	mirror
실제	truth; reality
남자답다	to be manly
몸매	figure; form
옷장	closet; warddrobe
옷자림	dress; attire
거절하다	to refuse; turn down
심각하다	to be serious; severe
상사	superior; boss
원만하다	to be easygoing; amicable
기대하다	to expect; anticipate
수준	level; standard
고르다	to choose; select
정식	legal; formal
모처럼	for a long time
기분이 나다	to get in the mood
메뉴판	menu
판매점	store; shop
현금	cash
의논하다	to discuss; consult
다림질	ironing
택배	parcel service
커피를 내리다	to brew coffee
식빵	sliced bread
복사하다	to photocopy
달래다	to soothe; calm
기저귀를 갈다	to change a diaper
흥미롭다	to be exciting; interesting
평균	average
대부분	most of
동시에	at the same time
허둥대다	to get flustered
침착하다	to be calm; composed
우왕좌왕하다	to run about in confusion
엉망이다	to be messy; chaotic
주어지다	to be allowed
순서	order; sequence
뛰어나다	to be excellent; outstanding
능력	ability
뒤떨어지다	to fall behind; lag
시키다	to order; have made
한꺼번에	at once; at the same time
출처	source; origin
실험	experiment
주차하다	to park
감정이 풍부하다	to be emotional
근거	grounds; basis
토론을 하다	to hold a debate
의상 디자이너	dress designer
의상실	boutique
최초	the first
조종사	pilot
부기장	account book
임명되다	to be appointed
기장	captain
면허	license
발급되다	to be issued; published
차지하다	to account for
지휘자	conductor
상임	permanent; standing
