복습하다	to review
예습하다	to preview
조깅하다	to jog
준비하다	to prepare
통화하다	to talk on the phone
회의하다	to have a meeting (for work)
대학원	graduate school
통역	interpretation
이따가	a little later (within a day)
단어를 외우다	to memorize words
식당을 하다	to run a restaurant
이메일을 확인하다	to check email
일을 다 하다	to finish all work
회사에 들어가다	to apply for a job
알겠어요.	I see.
웬일이세요?	What brings you here?, What are you doing here?
죄송해요.	I'm sorry.
아니에요.	That's okay. (아...)
그만두다	to quit (one's job)
놀라다	to be surprised
알아보다	to look into
졸리다	to be sleepy
지각하다	to be late (ㅈ...)
화가 나다	to be angry
사무실	office (ㅅㅁㅅ)
사장님	the president of a company
스물 아홉 살	twenty-nine years old
알람 소리	alarm sound
드디어	finally
깜짝 놀라다	to be startled
눈을 뜨다	to open eyes
버스에서 내리다	to get off the bus
알람시계를 맞추다	to set an alarm clock
등록하다	to register
말하기	speaking
매일	every day (ㅁ...)
아이	child
어른	adult (ㅇㄹ)
올해	this year
주중	weekdays (ㅈㅈ)
학원	academy
둘 다	both
수업을 듣다	to take a class
그럼요.	Of course.
저도요.	Me, too.
