조언하기	giving advice
변명하기	making excuses
도움 요청하기	asking somebody for help
알아보다	to find out
세탁하다	to wash
올해	this year
게으르다	to be lazy
부지런하다	to be diligent
결석하다	to be absent
코미디 영화룰 보다	to watch a comic movie
계속 전화하다	to keep on calling
숙제를 내다	to submit homework
엄마	mom
알아맞히다	to find out
야채	vegetable
아무리	no matter how
몸이 약하다	to feel weak
열이 나다	to have a fever
가벼운 운동을 하다	to take light exercise
블로그	blog
목록	table of contents
답장을 쓰다	to reply to someone's letter
조심하다	to be careful
따뜻하다	to be warm
중간에 내리다	to get off on the way
낮	day time
설탕물	sugar water
세수하다	to wash one's hands and face
신나다	to be excited
방법	method
잠을 자다	to sleep
식사 습관	eating habit
가지	counter for kinds, ideas, ways
인스턴트 음식	instant food
날마다	everyday
입맛이 없다	to have no appetite
쉽게	easily
알람 시계를 맞추다	to set an alarm
단어장	vocabulary notebook
감기 약	medicine for a cold
조언	advice
