시간을 내다	to make time
마음을 먹다	to be determined
가능하다	to be possible
모으다	to collect to save
세계	the world
거의	almost
동전	coin
도자기	ceramics pottery
독서	reading
수집하다	to collect, to gather
감상하다	to appreciate (music/art)
두다	to put/ to play (Baduk)
치다	to play (game or instrument)
낚시	fishing
얼마 전에	not long ago (some time ago)
다양하다	To be diverse
장르	genre
공포	horror
개봉하다	to release
학원	private educational institute academy
등록하다	to enroll/register
완성하다	to complete
인물화	portrait
풍경화	landscape
전시회	an exhibition
연주회	a concert or recital
상영	screening/showing
발표회	student recital/sneak preview
무용	dance performance
연주	musical performance
고전	classical (dance)
현대	modern times/ today
주로	mainly/ usually
동서양	East and West
정물화	Still life painting
입장료	Admission fee
들다	To join/ to be included
관심	interest/concern
동영상	video (clip)
괜히	no reason
고민하다	to worry
탈춤	Korean mask dance
영화	movie/film
사진	photography
등산	hiking/mountain climbing
국악	Korean Traditional Music
태권도	Tae-Kwon-Do
봉사	volunteering
합창	chorus/ choir
