지내다	to be doing
감기에 걸리다	to catch a cold
값이	value
품질	quality
한가하다	to be free/idle
물어보다	to ask
안내하다	to guide
문의하다	to inquire
상담	consultation
저장하다	to save
이따가	later (not 나중에)
월급	salary
전통	tradition
찻집	tea house/cafe
향	scent
약하다	to be weak
느끼다	to feel
주문하다	to order
시키하다	to order
방송	broadcast
빌리다	to borrow
나오다	to appear
사귀다	to make friends
갈아입다	to change clothes
자취하다	to live alone
동료	colleague
찾아가다	to go to visit
반찬	side dishes
끓이다	to boil
신부	bride
숙녀	lady
신사	gentlemen
차녀	single woman
총각	single man
모습	figure
넥타이 매다	to wear a tie
스카프 매다/하다	to wear a scarf
안경 끼다/쓰다	To wear glasses
반지 끼다	to wear a ring
모자 쓰다	to wear a hat
구두 신다	to wear shoes
양말 신다	to wear socks
귀고리 하다	to wear earings
목걸리 하다	to wear a necklace
시계 차다	to wear a watch
갈아타다	to transfer
출구	exit
직접	directly
축의금	monetary gift
식	ceremony
깎다	to get a bargain
지각하다	to be late for
미용실	hair salon
가격	price
신제품	new product
고향	hometown
계절	season
유학 가다	to go study abroad
장갑	gloves
아끼다	to cherish
마음에 들다	to like something
특별하다	to be special
사실은	in fact
인사하다	to greet
고속도로	highway
개월	months
막히다	to be jammed
평일	weekday
벗꽃 축제	cherry blossom festival
꽃이 피다	to bloom
그리다	to draw
사용 방법	usage
간단하다	to be simple
황사	yellow dust
무덥다	to be sweltering hot
떠나다	to leave for
즐기다	to enjoy
가정	house
설날	new year's day
장미	rainy season
아까	a little while ago
기운이 없다	to feel low
양	quantity
계획	plan
산책	walk
단풍	autumn leaves
올라가다	to climb
공기	air
공휴일	holiday
하루 종일	all day
눈을 멎다	to get some snow
걸어 다니다	to walk around
기회	chance/opportunity
집안일	housework
특히	especially
비슷하다	to be similar
창피하다	to be embarrassed
번역하다	to translate
설명하다	to explain
소류	documents
모자라다	to be insufficient
부탁	favor
거절하다	to reject
통장	bank book
신청서	application form
신청하다	to apply
서명하다	to sign
송금	send money
교환	exchange
할인	discount
환불	refund
등산	climbing
준비 운동	warm up
미리	in advance
주인공	hero
미인	beauty
환전	exchange money
창구	counter
직원	clerk
환율	exchange rate
세다	to count
연말	end of year
확인하다	to check
보내다	to send
보통우편	regular mail
부치다	to send
특급우편	express mail
배	times (twice, 3x, 4x)
정도	about
내용	content
올려놓다	to put on
마당	garden
젊다	to be young
자리	seat
금방	just now
전문가	expert
금연	no smoking
연휴	holiday (3rd word)
3박4일	3 nights 4 days
관광 코스	tourist route
굉장히	really
관광객	tourist
짜리	worth
어울리다	to suit
옷장	closet
경치	view
인형	doll
아가씨	young lady
궁궐	palace
동전	coin
예매	booking
역기	weight lifting
놀이동산	amusement park
자유이용권	free day pass ticket
마을	village
놀이기구	rides
면허증	license
소리 지르다	to scream
사자	lion
물개	seal
아마	perhaps
밥상	dining table
바로	right away
잃어버리다	to lose smth
그만두다	to quit
지음	written by
모녀	mother and daughter
성공	success
습관	habit
청소년	a teenager
젊은이	young people
인생	life (again)
방법	method
다 됐다	to be done
싱겁다	to be bland
싱싱하다	to be crispy
애인	lover, bf/gf
다행히	luckily
시간 내다	to make time for smth
증간에	in the middle
키우다	to raise (a dog)
면접	interview
떨어지다	to fail (an exam)
불안하다	to be nervous (2)
모임	meeting
참석하다	to attend
드림	sincerely yours (1)
정성	sincerity, earnest
청첩장	wedding invitation
알아보다	to search
취직하다	to look for a job
원서	application form (2)
공사	construction
외출	going out
조사하다	to investigate
큰일 나다	to be in trouble
학기말	end of school term
내다	to submit
쓰레기	garbage
벌리다	to throw away
익숙하다	to be familiar
짐	baggage
관리인	manager
분리하다	to separate
옮기다	to move
구하다	to find (2)
시합	match/game
설명서	explanation
사업	business
안내서	guidebook
귀국하다	to return home
예약하다	to book
헤어지다	to leave/break up
섭섭하다	to be sorry about
송별회	farewell party
신세지다	to be indebted to
전부	all
고생	hardship
매진되다	to be sold out
그치다	to cease/stop/let up
보름	a half month
살이 빠지다	to lose weight
선풍기	electric fan
세탁기	washing machine
다리미	iron
면도기	electric razor
전자레인지	microwave
담그다	to make (2)
이틀	2 days
염색하다	to dye
밀가루	flour
가죽	leather
얼음	ice
대표적	representative
서양	western
포장하다	to wrap/pack
