진지하다	serious (진중하다)
질기다	tough (강인하다/억척스럽다)
짜릿하다	thrilling (장쾌하다/자릿자릿하다)
찌뿌드드하다	1feel unwell/2gloomy (1몸이/2날씨가 흐리다/흐릿하다/끄무레하다)
차분하다	calm (침착하다)
찬란하다	brilliant (업적이나 빛/태양)
참신하다	novel/original (새롭다/기발)
처량하다	plaintive/miserable (비참하다)
철저하다	thorough (투철하다/철두철미하다/새부적이다/빈틈없다)
청명하다	fine/clear (화창하다/쾌청하다)
초라하다	shabby (볼품없다/추레하다/보잘것없다/누추하다/허름하다/남루하다)
초조하다	impatient (조급하다/성급하다/성마르다/조하다)
치밀하다	elaborate (세밀하다/정교하다/요밀하다)
치열하다	fierce (격렬하다/강열하다/맹렬하다)
침착하다	calm (차분하다)
쾌청하다	clear (청명하다/화창하다)
쾌활하다	cheerful (유쾌하다/명랑하다/흥겹다)
타당하다	appropriate (알맞다/적절하다/온당하다)
탁월하다	excellent (우수하다/뛰어나다/훌륭하다/용하다)
탁하다	murky (뿌옇다/혼탁하다)
탄탄하다	robust (단단하다/딩딩하다/건경하다/강건하다)
태연하다	like it's nothing (예사롭다)
투명하다	transparent (명백하다)
투박하다	rough (거치다)
특수하다	special (특별하다)
특이하다	unusual (남다르다/이상하다/유별하다/고유하다)
특정하다	particular
팽팽하다	1tight/taut 2tight/close (2아슬아슬하다/접전)
평평하다	flat (평탄하다/편평하다)
포근하다	cozy (아늑하다/오붓하다)
