냉전	Cold War
우호적	friendly, amicable, cordial
정체성	identity
신념	belief, creed, conviction, principle
설령/설사	supposing if X
우방국	friendly nation, ally
결단코	never, by no means
완주하다	끝까지 달려가다, 다하다
회담	talks, meeting, conference
결렬되다	to break down, fall through (반대말: 타결되다)
비무장 지대	DMZ
미래 지향적	future oriented
남북 경협	남북 경제 협력
양극화 문제	polarization problem
통제되다	to be controlled (by)
남북 고위급 회담	North-South high level talks
군사 분계선	Military Demarcation Line
수립되다	to be established
병역을 피하다	to avoid or escape military service
마다하다	to refuse, turn down
장기화	to be prolonged, extend over a long period of time
동질성	homogeneity
아픔을 달래주다	to alleviate pain or suffering
