이성 친구	boy friend / girl friend
폭력	violence, brute force
집단 따돌림	group bullying
상담하다	counsel, consult
통하다	communicate / get through, ventilate
의논하다	discuss
쓸데없다	useless, unnecessary
괴로워하다	be tortured, suffer from
두려움	fear, horror, dread
전사자	person killed in battle
행방불명자	missing person
맡다	take care of, handle, manage
무렵	around, toward, at
빼앗다	take (a thing) by force, steal, rob
절망스럽다	desperate, despair, hopeless
명확하다	clean, precise
판단하다	judge, decide
신경을 쓰다	pay attention to, concern
문제점	problem, drawback
분석하다	analyze
명상	meditation, contemplation
감정	emotion, feelings
표출하다	express, display, show
